id;nom;decision;ecrite_le_26_09;qid;wikidata_libelle;naissance;mort;pays;langue;signaux;candidats_et_motifs
10110;Fernando López Trujillo;introuvable;;;;;;;;;
10111;Volin;acceptée;oui;Q715195;Voline;1882;1945;RU;fr;biblio+metier+anarchisme;Q715195 {biblio+metier+anarchisme}
10112;George Woodcock;acceptée;oui;Q954360;George Woodcock;1912;1995;CA;en;biblio+metier;Q954360 {biblio+metier} | Q5546495 [naissance 1904 ≠ 1912, mort 1979 ≠ 1995] {biblio+metier} | Q5546496 [naissance 1894 ≠ 1912, mort 1968 ≠ 1995]
10113;George Orwell;acceptée;oui;Q3335;George Orwell;1903;1950;GB;;biblio+metier;Q3335 {biblio+metier}
10116;Cornelius Castoriadis;acceptée;oui;Q158030;Cornelius Castoriadis;1922;1997;;;biblio+metier;Q158030 {biblio+metier}
10120;Hugues Lenoir;acceptée;oui;Q93751545;Hugues Lenoir;1953;;;;biblio+metier;Q93751545 {biblio+metier}
10121;Carlos Baqueiro;introuvable;;;;;;;;;
10122;Max Stirner;acceptée;oui;Q76725;Max Stirner;1806;1856;DE;de;biblio+metier;Q76725 {biblio+metier}
10123;Gilles Deleuze;acceptée;oui;Q184226;Gilles Deleuze;1925;1995;FR;fr;biblio+metier;Q184226 {biblio+metier}
10124;Jean Baudrillard;acceptée;oui;Q182847;Jean Baudrillard;1929;2007;FR;fr;biblio+metier;Q182847 {biblio+metier}
10125;Pierre Clastres;acceptée;oui;Q463151;Pierre Clastres;1934;1977;FR;;biblio+metier;Q463151 {biblio+metier}
10126;Herbert Spencer;acceptée;oui;Q144535;Herbert Spencer;1820;1903;GB;en;biblio+metier;Q144535 {biblio+metier} | Q98834374 [naissance 1915 ≠ 1820, mort 1993 ≠ 1903] {biblio} | Q5735635 [naissance 1924 ≠ 1820, mort 2002 ≠ 1903] {biblio+metier} | Q53977117 [naissance 1875 ≠ 1820, mort 1945 ≠ 1903] | Q5735828 [naissance 1905 ≠ 1820, mort 1992 ≠ 1903] {biblio}
10127;Maurice Blanchot;acceptée;oui;Q315210;Maurice Blanchot;1907;2003;FR;fr;biblio+metier;Q315210 {biblio+metier} | Q139067834 [naissance 1934 ≠ 1907, mort 2014 ≠ 2003] {biblio}
10128;Paul Veyne;acceptée;oui;Q739537;Paul Veyne;1930;2022;FR;fr;biblio+metier;Q739537 {biblio+metier}
10129;Paul Valéry;acceptée;oui;Q200639;Paul Valéry;1871;1945;FR;fr;biblio+metier;Q200639 {biblio+metier}
10130;Stanley Milgram;acceptée;oui;Q208236;Stanley Milgram;1933;1984;US;;biblio;Q208236 {biblio}
10131;Oscar Wilde;acceptée;oui;Q30875;Oscar Wilde;1854;1900;IE;en;biblio+metier;Q30875 {biblio+metier} | Q3568150 [naissance 1967 ≠ 1854]
10132;Fernando Pessoa;acceptée;oui;Q173481;Fernando Pessoa;1888;1935;PT;pt;biblio+metier;Q173481 {biblio+metier} | Q59225853
10133;William Morris;acceptée;oui;Q182589;William Morris;1834;1896;GB;en;biblio+metier;Q182589 {biblio+metier} | Q11169604 [naissance 1861 ≠ 1834, mort 1936 ≠ 1896] {biblio} | Q15290209 [naissance 1939 ≠ 1834] | Q8015832 [naissance 1957 ≠ 1834] {biblio} | Q13132363 [naissance 1705 ≠ 1834, mort 1763 ≠ 1896] {biblio} | Q335487 [naissance 1877 ≠ 1834, mort 1963 ≠ 1896] {biblio} | Q8015834 [naissance 1925 ≠ 1834, mort 2013 ≠ 1896]
10134;Dario Fo;acceptée;oui;Q765;Dario Fo;1926;2016;IT;;biblio+metier;Q765 {biblio+metier}
10135;Hans Magnus Enzensberger;acceptée;oui;Q44584;Hans Magnus Enzensberger;1929;2022;DE;de;biblio+metier;Q44584 {biblio+metier}
10136;Katherine Anne Porter;acceptée;oui;Q236958;Katherine Anne Porter;1890;1980;US;en;biblio+metier;Q236958 {biblio+metier}
10137;Manuel Rojas;acceptée;oui;Q1891716;Manuel Rojas;1896;1973;CL;es;biblio+metier;Q1891716 {biblio+metier} | Q2634596 [naissance 1954 ≠ 1896] | Q23005730 [naissance 1930 ≠ 1896, mort 1995 ≠ 1973] {biblio} | Q1171056 [naissance 1831 ≠ 1896, mort 1903 ≠ 1973] {metier} | Q54377986 {chercheur}
10138;Georges Darien;acceptée;oui;Q1508877;Georges Darien;1862;1921;FR;fr;biblio+metier;Q1508877 {biblio+metier}
10139;Lewis Mumford;acceptée;oui;Q469888;Lewis Mumford;1895;1990;US;en;biblio+metier;Q469888 {biblio+metier}
10140;Benedict Anderson;ambiguë;;;;;;;;;Q212993 {biblio+metier} | Q124639063 {biblio+metier}
10141;Antony Beevor;acceptée;oui;Q380229;Antony Beevor;1946;;GB;;biblio+metier;Q380229 {biblio+metier}
10142;Hugh Thomas;acceptée;oui;Q335150;Hugh Thomas;1931;2017;GB;;biblio+metier;Q335150 {biblio+metier} | Q17199211 [naissance 1706 ≠ 1931, mort 1780 ≠ 2017] {biblio} | Q5932857 | Q47916966 {chercheur} | Q5932860 [naissance 1949 ≠ 1931] {biblio} | Q5932864 [naissance 1948 ≠ 1931] | Q20733207 [naissance 1673 ≠ 1931, mort 1720 ≠ 2017] | Q5932866 [mort 1976 ≠ 2017]
10143;Raymond Carr;acceptée;oui;Q3179517;Raymond Carr;1919;2015;GB;;biblio+metier;Q3179517 {biblio+metier}
10144;John Reed;acceptée;oui;Q310800;John Reed;1887;1920;;en;biblio+metier;Q310800 {biblio+metier} | Q19876338 [naissance 1864 ≠ 1887, mort 1955 ≠ 1920] | Q6254461 [naissance 1916 ≠ 1887, mort 2010 ≠ 1920] {biblio} | Q6254459 [naissance 1901 ≠ 1887, mort 1981 ≠ 1920] {biblio} | Q6254453 [naissance 1805 ≠ 1887, mort 1843 ≠ 1920] | Q10517212 [naissance 1972 ≠ 1887] | Q6254463 [naissance 1969 ≠ 1887] {biblio+metier} | Q105230296 | Q111411396 [naissance 1909 ≠ 1887, mort 1999 ≠ 1920] {biblio} | Q110941301 [naissance 1777 ≠ 1887, mort 1845 ≠ 1920] {biblio}
10145;Pierre Broué;acceptée;oui;Q473006;Pierre Broué;1926;2005;FR;;biblio+metier;Q473006 {biblio+metier}
10146;Lysander Spooner;acceptée;oui;Q538091;Lysander Spooner;1808;1887;US;en;biblio+metier+anarchisme;Q538091 {biblio+metier+anarchisme}
10147;Piotr Archinov;contradiction;;;;;;;;;Q721177 [mort 1940 ≠ 1938] {biblio+anarchisme}
10148;Vernon Richards;acceptée;oui;Q513120;Vernon Richards;1915;2001;GB;;biblio+metier+anarchisme;Q513120 {biblio+metier+anarchisme}
10149;Andrés Nin;acceptée;oui;Q317923;Andreu Nin;1892;1937;ES;;biblio+metier;Q317923 {biblio+metier}
