id;nom;decision;ecrite_le_26_09;qid;wikidata_libelle;naissance;mort;pays;langue;signaux;candidats_et_motifs
10249;Cássio Macedo Lopes de Aquino;introuvable;;;;;;;;;
10250;Angela M. C. Araujo;introuvable;;;;;;;;;
10251;Alejandro Arellano Y Buenrostro;introuvable;;;;;;;;;
10252;Alejandro Buenrostro y Arellano;introuvable;;;;;;;;;
10253;Dom Paulo Evaristo Arns;introuvable;;;;;;;;;
10254;Carlos Arruda;introuvable;;;;;;;;;
10255;João Arruda;contradiction;;;;;;;;;Q23822823 [naissance 1976 ≠ 1861, né 1976, publié dès 1932] | Q10311325 [naissance 1914 ≠ 1861, mort 1973 ≠ 1943]
10256;Rinaldo Sérgio Vieira Arruda;introuvable;;;;;;;;;
10258;Nelson Ascher;acceptée;oui;Q1976947;Nelson Ascher;1958;;BR;pt;biblio+metier;Q1976947 {biblio+metier}
10259;Thimothy Garton Ash;introuvable;;;;;;;;;
10260;Svetlana Askoldova;introuvable;;;;;;;;;
10261;Danilo Augusto;introuvable;;;;;;;;;
10262;Claire Auzias;acceptée;oui;Q2975000;Claire Auzias;1951;2024;FR;fr;biblio+metier;Q2975000 {biblio+metier}
10263;Luis Carlos Avila;introuvable;;;;;;;;;
10264;Darcy Azambuja;acceptée;oui;Q10264206;Darcy Pereira de Azambuja;;1970;BR;pt;biblio+metier;Q10264206 {biblio+metier}
10265;Aluísio Azevedo;acceptée;oui;Q2840554;Aluísio Azevedo;1857;1913;BR;pt;biblio+metier;Q2840554 {biblio+metier}
10266;Álvares de Azevedo;acceptée;oui;Q250754;Álvares de Azevedo;1831;1852;BR;pt;biblio+metier;Q250754 {biblio+metier} | Q55073010 [naissance 1834 ≠ 1831, mort 1854 ≠ 1852] {metier}
10267;Raquel De Azevedo;introuvable;;;;;;;;;
10268;Flávio Bá;introuvable;;;;;;;;;
10269;Patrick Bade;ambiguë;;;;;;;;;Q26211971 [né 1997, publié dès 1999] | Q100723532 [né 1990, publié dès 1999] | Q120584791 {biblio} | Q134113981
10270;Luciana Badin;introuvable;;;;;;;;;
10271;Antônio Ladislau Monteiro Baena;acceptée;oui;Q16491870;António Ladislau Monteiro Baena;1782;1850;PT;;biblio+metier;Q16491870 {biblio+metier}
10272;Osvaldo Baigorria;acceptée;oui;Q6054198;Osvaldo Baigorria;1948;;AR;es;biblio+metier;Q6054198 {biblio+metier}
10273;Normand Baillargeon;acceptée;oui;Q3343837;Normand Baillargeon;1958;;CA;fr;biblio+metier;Q3343837 {biblio+metier}
10274;Quentin Bajac;à relire (un seul signal);;Q3414162;Quentin Bajac;1965;;FR;fr;biblio;Q3414162 {biblio}
10275;Catherine Baker;contradiction;;;;;;;;;Q2941824 [naissance 1947 ≠ 1949] {biblio+metier} | Q61749701 [naissance 1982 ≠ 1949] {biblio+metier} | Q122583054 [naissance 1965 ≠ 1949] {biblio} | Q4959218 [naissance 1930 ≠ 1949] {biblio+metier} | Q75642288 [naissance 1760 ≠ 1949] | Q76291426 [naissance 1818 ≠ 1949] | Q75806137 | Q75642099 | Q102742682
10276;Michel Bakounine;acceptée;oui;Q27645;Mikhaïl Bakounine;1814;1876;RU;ru;biblio+metier+anarchisme;Q27645 {biblio+metier+anarchisme}
10277;Giovanni Baldelli;acceptée;oui;Q5563688;Giovanni Baldelli;1914;1986;IT;;biblio+metier;Q5563688 {biblio+metier}
10278;Gr Balkanski;introuvable;;;;;;;;;
10279;Luigi Balsamini;acceptée;oui;Q106650977;Luigi Balsamini;1977;;IT;it;biblio+metier;Q106650977 {biblio+metier}
10280;Moniz Bandeira;acceptée;oui;Q9296503;Moniz Bandeira;1935;2017;BR;pt;biblio+metier;Q9296503 {biblio+metier}
10281;Noniz Bandeira;introuvable;;;;;;;;;
10282;Antonio Bar;introuvable;;;;;;;;;
10283;Carlos Barbáchano;à relire (un seul signal);;Q53550163;Carlos Barbáchano;1947;;ES;;biblio;Q53550163 {biblio}
10284;Francisco de Assis Barbosa;acceptée;oui;Q5484097;Francisco de Assis Barbosa;1914;1991;BR;pt;biblio+metier;Q5484097 {biblio+metier}
10285;Rui Barbosa;acceptée;oui;Q916935;Ruy Barbosa de Oliveira;1849;1923;BR;pt;biblio+metier;Q43271956 {chercheur} | Q916935 {biblio+metier} | Q90889808 {chercheur}
10286;Antonio Garcia Barón;acceptée;oui;Q4776641;Antonio García Barón;1921;2008;ES;;metier+anarchisme;Q4776641 {metier+anarchisme}
10287;Rafael Barret;acceptée;oui;Q353806;Rafael Barrett;1876;1910;ES;es;biblio+metier;Q353806 {biblio+metier}
10288;Lima Barreto;acceptée;oui;Q383442;Afonso Henriques de Lima Barreto;1881;1922;BR;pt;biblio+metier;Q383442 {biblio+metier} | Q955301 [naissance 1906 ≠ 1881, mort 1982 ≠ 1922] {biblio}
10289;Nelson Ramos Barretto;à relire (un seul signal);;Q20046067;Nelson Ramos Barretto;;;BR;pt;metier;Q20046067 {metier}
10290;Haroldo Barros;introuvable;;;;;;;;;
10291;Luitgarde Oliveira Cavalcanti Barros;acceptée;oui;Q113821780;Luitgarde Oliveira Cavalcanti Barros;;;;;biblio+metier;Q113821780 {biblio+metier}
10292;Melka Barros;introuvable;;;;;;;;;
10293;Neimar de Barros;acceptée;oui;Q10336026;Neimar de Barros;1943;2012;BR;pt;biblio+metier;Q10336026 {biblio+metier}
10294;Max Barry;acceptée;oui;Q1912232;Max Barry;1973;;AU;;biblio+metier;Q1912232 {biblio+metier}
10295;Robert F. Barsky;contradiction;;;;;;;;;Q7341907 [naissance 1961 ≠ 1949] {biblio+metier}
10296;Jacques Barzun;acceptée;oui;Q712946;Jacques Barzun;1907;2012;FR;;biblio+metier;Q712946 {biblio+metier}
10297;Franco Basaglia;acceptée;oui;Q929630;Franco Basaglia;1924;1980;IT;it;biblio+metier;Q929630 {biblio+metier}
10298;Jean-Pierre Bastian;acceptée;oui;Q113778992;Jean-Pierre Bastian;1947;;;es;biblio+metier;Q113778992 {biblio+metier}
10299;Jorge Basurto;non corroborée;;;;;;;;;Q17333798
10300;Claudio H. M. Batalha;introuvable;;;;;;;;;
10302;Paulo Cesar Batista;non corroborée;;;;;;;;;Q586708
10303;Charles Baudelaire;acceptée;oui;Q501;Charles Baudelaire;1821;1867;FR;fr;biblio+metier;Q501 {biblio+metier} | Q481146 [naissance 1903 ≠ 1821, mort 1979 ≠ 1867] {biblio+metier} | Q19138093
10304;Agustín Souchy Bauer;introuvable;;;;;;;;;
10306;Carlos Bauer;introuvable;;;;;;;;;
10307;Ruth M. Beard;à relire (un seul signal);;Q112443292;Ruth M. Beard;1919;;;;biblio;Q112443292 {biblio}
10308;Paula Beiguelman;acceptée;oui;Q84991112;Paula Beiguelman;1926;2009;BR;;biblio+metier;Q84991112 {biblio+metier}
10309;Kazimierz Bein;acceptée;oui;Q12749;Kazimierz Bein;1872;1959;PL;;biblio+metier;Q12749 {biblio+metier}
10310;Raúl Ruano Bellido;introuvable;;;;;;;;;
10311;Ierecê Rego Beltrão;introuvable;;;;;;;;;
10312;Jane Felipe Beltrão;à relire (un seul signal);;Q101219133;Jane Felipe Beltrão;;;;;metier;Q101219133 {metier}
10313;Robert Benedetti;ambiguë;;;;;;;;;Q64064677 {biblio} | Q139191810 {biblio}
10314;Mouzar Benedito;acceptée;oui;Q139067993;Mouzar Benedito;1946;;;;biblio+metier;Q139067993 {biblio+metier}
10315;César Benjamin;à relire (un seul signal);;Q8353140;César Benjamin;1954;;BR;pt;metier;Q8353140 {metier}
10316;Eugenio Bentaberry;introuvable;;;;;;;;;
10317;Jeremy Benthan;introuvable;;;;;;;;;
10318;Javier Benyo;introuvable;;;;;;;;;
10319;Paul Berman;ambiguë;;;;;;;;;Q685711 {biblio+metier} | Q106379508 [né 1964, publié dès 1972] | Q7153465 [né 1966, publié dès 1972] {biblio+metier} | Q85521287 | Q133709929 {biblio}
10320;Raúl Ornelas Bernal;introuvable;;;;;;;;;
10321;Jean-Claude Bernardet;contradiction;;;;;;;;;Q10306512 [mort 2025 ≠ 2012] {biblio+metier}
10322;Célia de Bernardi;introuvable;;;;;;;;;
10323;Ladisael Bernardo;introuvable;;;;;;;;;
10324;Walther L. Bernecker;acceptée;oui;Q2547292;Walther L. Bernecker;1947;2026;DE;;biblio+metier;Q2547292 {biblio+metier}
10325;Camillo Berneri;acceptée;oui;Q969881;Camillo Berneri;1897;1937;IT;it;biblio+metier+anarchisme;Q969881 {biblio+metier+anarchisme}
10326;María Luisa Berneri;acceptée;oui;Q441947;Marie-Louise Berneri;1918;1949;IT;es;biblio+metier+anarchisme;Q441947 {biblio+metier+anarchisme}
10327;David Berry;contradiction;;;;;;;;;Q5231376 [naissance 1943 ≠ 1965] {biblio} | Q5799843 [naissance 1984 ≠ 1965] {biblio+metier} | Q5231374 [naissance 1951 ≠ 1965] | Q41786500 {chercheur} | Q115860882 [naissance 1957 ≠ 1965] {biblio+metier} | Q16193471 [naissance 1960 ≠ 1965] {biblio+metier} | Q56186939 [naissance 1943 ≠ 1965] {biblio+metier} | Q16065446 [naissance 1795 ≠ 1965] | Q57150930 {chercheur} | Q5231373 [naissance 1978 ≠ 1965]
10328;Juan Luis Berterretche;à relire (un seul signal);;Q139063980;Juan Luis Berterretche;1941;;;;biblio;Q139063980 {biblio}
10329;Paul Berthelot;ambiguë;;;;;;;;;Q3370632 {biblio+anarchisme} | Q115004514 {metier}
10330;Claude Bertin;à relire (un seul signal);;Q5128714;Claude Bertin;1653;1705;FR;;biblio;Q5128714 {biblio}
10331;Franco Bertolucci;ambiguë;;;;;;;;;Q113254497 {biblio} | Q56326718 {biblio+metier} | Q133506922 {biblio}
10332;João Fábio Bertonha;acceptée;oui;Q112522302;João Fábio Bertonha;1968;;;pt;biblio+metier;Q112522302 {biblio+metier}
10333;Frei Betto;acceptée;oui;Q1453782;Frei Betto;1944;;BR;pt;biblio+metier;Q1453782 {biblio+metier}
10334;Hakim Bey;acceptée;oui;Q551377;Hakim Bey;1945;2022;US;en;biblio+metier+anarchisme;Q551377 {biblio+metier+anarchisme}
10335;Janet Biehl;acceptée;oui;Q535664;Janet Biehl;1953;;US;;biblio+metier+anarchisme;Q535664 {biblio+metier+anarchisme}
10336;Isabel Bilhão;introuvable;;;;;;;;;
10337;Edgardo J. Bilsky;introuvable;;;;;;;;;
10338;Jeanne Bisilliat-Gardet;introuvable;;;;;;;;;
10339;Antonio Bivar;acceptée;oui;Q9621049;Antônio Bivar;1939;2020;BR;pt;biblio+metier;Q9621049 {biblio+metier}
10340;Bob Black;ambiguë;;;;;;;;;Q1266007 {biblio+metier+anarchisme} | Q4931841 [naissance 1862 ≠ 1951] | Q42421345 [naissance 1939 ≠ 1951] | Q100752067 | Q25208975 {biblio} | Q4920385 [naissance 1780 ≠ 1951] {biblio} | Q140285646 [naissance 1922 ≠ 1951] | Q106515733 [naissance 1922 ≠ 1951] {biblio+metier}
10341;Luther Blissett;non corroborée;;;;;;;;;Q10531
10342;Gérard Bloch;à relire (un seul signal);;Q109853807;Gérard Bloch;1920;1987;;;biblio;Q109853807 {biblio}
10343;Georges Blond;acceptée;oui;Q3102319;Georges Blond;1906;1989;FR;fr;biblio+metier;Q3102319 {biblio+metier}
10344;Augusto Boal;acceptée;oui;Q434805;Augusto Boal;1931;2009;BR;pt;biblio+metier;Q434805 {biblio+metier}
10345;Miguel Bodela;introuvable;;;;;;;;;
10346;Larissa Mies Bombardi;acceptée;oui;Q116262150;Larissa Bombardi;1972;;BR;;biblio+metier;Q116262150 {biblio+metier}
10349;Alfredo María Bonanno;acceptée;oui;Q439074;Alfredo M. Bonanno;1937;2023;IT;;biblio+metier+anarchisme;Q439074 {biblio+metier+anarchisme}
10350;Stefano Boni;acceptée;oui;Q125369708;Stefano Boni;1970;;IT;;biblio+metier;Q125369708 {biblio+metier}
10351;Angel Borda;contradiction;;;;;;;;;Q94626311 [naissance 1901 ≠ 1906, mort 1980 ≠ 1986] {biblio}
10352;Francesc Foguet I. Boreu;acceptée;oui;Q85955330;Francesc Foguet i Boreu;1971;;;es;biblio+metier;Q85955330 {biblio+metier}
10353;José Francisco Borges;acceptée;oui;Q10304583;J. Borges;1935;2024;BR;pt;biblio+metier;Q10304583 {biblio+metier}
10354;Armando Borghi;acceptée;oui;Q978183;Armando Borghi;1882;1968;IT;it;biblio+metier;Q978183 {biblio+metier}
10355;Lamberto Borghi;acceptée;oui;Q3826314;Lamberto Borghi;1907;2000;IT;it;biblio+metier;Q3826314 {biblio+metier}
10356;J. Carlos Boscolo;introuvable;;;;;;;;;
10358;John Brademas;acceptée;oui;Q533169;John Brademas;1927;2016;US;;biblio;Q533169 {biblio}
10360;Henry N. Brailsford;introuvable;;;;;;;;;
10361;Octavio Brandão;acceptée;oui;Q10340169;Octávio Brandão;1896;1980;BR;pt;biblio;Q10340169 {biblio}
10363;L. I. Brezhnev;introuvable;;;;;;;;;
10364;Maurice Brinton;acceptée;oui;Q5107677;Chris Pallis;1923;2005;GB;en;biblio+metier;Q5107677 {biblio+metier}
10365;José Brissa;acceptée;oui;Q137529424;;;1949;ES;;biblio+metier;Q137529424 {biblio+metier}
10366;José Carlos Aguiar Brito;introuvable;;;;;;;;;
10367;Brito Broca;acceptée;oui;Q9667031;Brito Broca;1903;1961;BR;pt;biblio+metier;Q9667031 {biblio+metier}
10368;Alain Brossat;acceptée;oui;Q2829621;Alain Brossat;1946;;FR;fr;biblio+metier;Q2829621 {biblio+metier}
10370;Lúcia Bruno;à relire (un seul signal);;Q16193723;Bruno Lucia;1960;;AU;;biblio;Q16193723 {biblio}
10371;Fritz Brupbacher;ambiguë;;;;;;;;;Q117511 {biblio+metier+anarchisme} | Q133083928 {biblio}
10372;Wilson R. Bueno;introuvable;;;;;;;;;
10373;Waldirio Bulgarelli;à relire (un seul signal);;Q139061150;Waldirio Bulgarelli;1930;;;;biblio;Q139061150 {biblio}
10374;Judith Butler;acceptée;oui;Q219368;Judith Butler;1956;;US;;biblio+metier;Q219368 {biblio+metier} | Q75611264 [naissance 1707 ≠ 1956] | Q75634674 | Q75764759 [naissance 1785 ≠ 1956] | Q75651253 [naissance 1953 ≠ 1956] | Q75651807 | Q140285314
10375;Marco Aurélio Buzetto;introuvable;;;;;;;;;
10376;Mário H. F. Buzzulini;introuvable;;;;;;;;;
10377;Victor M. Muñoz C.;introuvable;;;;;;;;;
10378;Evaldo Cabral De Mello;contradiction;;;;;;;;;Q2226041 [naissance 1936 ≠ 1929] {biblio+metier}
10379;Max Cafard;introuvable;;;;;;;;;
10380;Carlo Cafiero;acceptée;oui;Q563138;Carlo Cafiero;1846;1892;IT;it;biblio+metier+anarchisme;Q563138 {biblio+metier+anarchisme} | Q96167533 [naissance 1964 ≠ 1846] {biblio+metier}
10381;Santiago Ramón y Cajal;acceptée;oui;Q150526;Santiago Ramón y Cajal;1852;1934;ES;es;biblio+metier;Q150526 {biblio+metier}
10382;Roseli Salete Caldart;introuvable;;;;;;;;;
10383;Clovis Caldeira;introuvable;;;;;;;;;
10384;Agustín García Calvo;acceptée;oui;Q130746;Agustín García Calvo;1926;2012;ES;;biblio+metier;Q130746 {biblio+metier} | Q118559346 [naissance 1905 ≠ 1926, mort 1936 ≠ 2012]
10385;Enrique Gil Calvo;acceptée;oui;Q37438673;Enrique Gil Calvo;1946;;ES;es;biblio+metier;Q37438673 {biblio+metier}
10386;Luis de Camões;acceptée;oui;Q590;Luís de Camões;;1580;PT;pt;biblio+metier;Q590 {biblio+metier}
10387;Javier Campo;non corroborée;;;;;;;;;Q56875927 {chercheur}
10388;Cristina de Campos;à relire (un seul signal);;Q93793957;Cristina de Campos;;;BR;;biblio+chercheur;Q93793957 {biblio+chercheur}
10389;Cristina Hebling Campos;introuvable;;;;;;;;;
10390;Reynaldo Pompeu de Campos;introuvable;;;;;;;;;
10391;Elizabeth Cancelli;introuvable;;;;;;;;;
10392;Néstor García Canclini;acceptée;oui;Q2558727;Néstor García Canclini;1939;;AR;;biblio+metier;Q2558727 {biblio+metier}
10393;René Cannac;acceptée;oui;Q64171626;René Cannac;;;FR;fr;biblio+metier;Q64171626 {biblio+metier}
10394;Martín Caparrós;acceptée;oui;Q457402;Martín Caparrós;1957;;AR;es;biblio+metier;Q457402 {biblio+metier}
10395;Jose Capela;acceptée;oui;Q110225815;José Capela;1932;2014;;pt;biblio+metier;Q110225815 {biblio+metier}
10396;William Andrés Mesa Cárdenas;introuvable;;;;;;;;;
10397;Carlos A. Gomes Cardim;introuvable;;;;;;;;;
10398;Alvaro Cardoso;non corroborée;;;;;;;;;Q8076675 | Q48867596
10399;Ana Claudia Moreira Cardoso;introuvable;;;;;;;;;
10400;Paulo Amorim Cardoso;acceptée;oui;Q12353698;Paulo Amorim Cardoso;1921;2018;BR;es;biblio+metier;Q12353698 {biblio+metier}
10401;Beatriz Scigliano Carneiro;introuvable;;;;;;;;;
10402;Daniele Carneiro;introuvable;;;;;;;;;
10403;Edgar Carone;acceptée;oui;Q10270185;Edgard Carone;1923;2003;BR;pt;biblio+metier;Q10270185 {biblio+metier}
10404;Campio Carpio;acceptée;oui;Q17413212;Campio Carpio;1902;1989;ES;es;biblio+metier;Q17413212 {biblio+metier}
10405;E. H. Carr;acceptée;oui;Q274764;Edward Hallett Carr;1892;1982;GB;en;biblio+metier;Q274764 {biblio+metier}
10406;Emili Coratvitarte i Carral;introuvable;;;;;;;;;
10407;Marcio Luiz Carreri;introuvable;;;;;;;;;
10408;April Carter;acceptée;oui;Q4782004;April Carter;1937;2022;GB;en;biblio+metier;Q4782004 {biblio+metier}
10409;Paul Carton;ambiguë;;;;;;;;;Q3370823 {biblio+metier} | Q110211504 {biblio} | Q80720780
10410;Elysio de Carvalho;acceptée;oui;Q94406779;Elysio de Carvalho;1880;1925;;;biblio+metier;Q94406779 {biblio+metier}
10411;Pablo González Casanova;acceptée;oui;Q1714521;Pablo González Casanova;1922;2023;MX;es;biblio+metier;Q1714521 {biblio+metier} | Q6056031 [naissance 1889 ≠ 1922] {biblio+metier}
10412;Eduardo Góes de Castro;introuvable;;;;;;;;;
10413;Rogério de Castro;introuvable;;;;;;;;;
10414;Pedro Catallo;introuvable;;;;;;;;;
10415;Fernando Catroga;acceptée;oui;Q19708195;Fernando Catroga;1945;;PT;pt;biblio+metier;Q19708195 {biblio+metier}
10416;Jardel Cavalcanti;introuvable;;;;;;;;;
10417;Isabel Cerruti;acceptée;oui;Q109929043;Isabel Cerruti;1886;1970;BR;;biblio+metier+anarchisme;Q109929043 {biblio+metier+anarchisme}
10418;Júlio César;ambiguë;;;;;;;;;Q182459 {biblio} | Q1825279 | Q603190 | Q58433811 | Q6321698 | Q2455284 | Q10313398 | Q10313399
10419;Marcos Cesar;introuvable;;;;;;;;;
10420;Mário César;acceptée;oui;Q69181346;Mário César;1982;;BR;;biblio+metier;Q6764628 | Q69181346 {biblio+metier}
10421;Murilo Dias Cesar;introuvable;;;;;;;;;
10422;Gabriel Chalita;acceptée;oui;Q10287850;Gabriel Chalita;1969;;BR;pt;biblio+metier;Q10287850 {biblio+metier}
10423;Bernard Chantebout;à relire (un seul signal);;Q2897667;Bernard Chantebout;1936;;FR;;biblio;Q2897667 {biblio}
10424;Teilhard de Chardin;acceptée;oui;Q189564;Pierre Teilhard de Chardin;1881;1955;FR;fr;biblio+metier;Q189564 {biblio+metier}
10425;Sylla Chaves;acceptée;oui;Q10375437;Sylla Chaves;1929;2009;BR;eo;biblio+metier;Q10375437 {biblio+metier}
10426;Fiamma Chessa;introuvable;;;;;;;;;
10427;Rivaldo Chinem;introuvable;;;;;;;;;
10428;José Chrispiniano;introuvable;;;;;;;;;
10430;Stuart Christie;acceptée;oui;Q981988;Stuart Christie;1946;2020;GB;en;biblio+metier+anarchisme;Q981988 {biblio+metier+anarchisme}
10431;Daniel Chutorianscy;introuvable;;;;;;;;;
10432;Giuseppe Ciancabilla;acceptée;oui;Q5565377;Giuseppe Ciancabilla;;1904;IT;;biblio+metier+anarchisme;Q5565377 {biblio+metier+anarchisme}
10433;E. M. Cioran;acceptée;oui;Q193405;Emil Cioran;1911;1995;RO;ro;biblio+metier;Q193405 {biblio+metier}
10434;Piero Cipriano;introuvable;;;;;;;;;
10435;Marcos Cirano;acceptée;oui;Q139060997;Marcos Cirano;1952;;;;biblio+metier;Q139060997 {biblio+metier}
10436;Márcia Regina Ciscati;introuvable;;;;;;;;;
10437;John Clark;ambiguë;;;;;;;;;Q1624695 {biblio+metier} | Q6226187 [naissance 1932 ≠ 1945] {biblio+metier} | Q56205786 [naissance 1948 ≠ 1945] {biblio} | Q27074113 | Q3182410 [naissance 1885 ≠ 1945] {biblio} | Q1320783 [naissance 1766 ≠ 1945] {biblio} | Q719865 [naissance 1941 ≠ 1945] | Q18575850 | Q1699619 [naissance 1964 ≠ 1945] {biblio} | Q6226191 [naissance 1784 ≠ 1945] {biblio}
10438;Arnould Clausse;introuvable;;;;;;;;;
10439;Voltairine de Cleyre;acceptée;oui;Q235361;Voltairine de Cleyre;1866;1912;US;en;biblio+metier+anarchisme;Q235361 {biblio+metier+anarchisme}
10440;Geraldo Mártires Coelho;introuvable;;;;;;;;;
10441;Jeff Collins;ambiguë;;;;;;;;;Q6173599 | Q26709562 | Q100771208 | Q133307248 {biblio} | Q100771209 | Q100771210 | Q27661778 {biblio} | Q89387919 {chercheur}
10442;Eduardo Comín Colomer;acceptée;oui;Q3048319;Eduardo Comín Colomer;1908;1975;ES;es;biblio+metier;Q3048319 {biblio+metier}
10443;Daniel Colson;déjà liée;oui;Q3013875;Daniel Colson;1943;2026;FR;fr;biblio+metier+anarchisme;Q3013875 {biblio+metier+anarchisme}
10444;Ai Ferri Conti;introuvable;;;;;;;;;
10445;Edelmira Del Carmen Alveal Contreras;introuvable;;;;;;;;;
10446;Edna Copparoni;introuvable;;;;;;;;;
10447;Cristiano Cordeiro;contradiction;;;;;;;;;Q2633452 [né 1973, publié dès 1982] | Q10261634 | Q79915371 {chercheur}
10448;Hector Adolfo Cordero;introuvable;;;;;;;;;
10449;Christiano Cornelissen;introuvable;;;;;;;;;
10450;Joël Cornuault;non corroborée;;;;;;;;;Q130681785
10451;Manuel Correia De Andrade;acceptée;oui;Q10324075;Manuel Correia de Oliveira Andrade;1922;2007;BR;pt;biblio+metier;Q10324075 {biblio+metier}
10452;Julio Cortázar;acceptée;oui;Q174210;Julio Cortázar;1914;1984;;es;biblio+metier;Q174210 {biblio+metier}
10453;Darío A. Cortés;introuvable;;;;;;;;;
10454;André Corvisier;acceptée;oui;Q2847554;André Corvisier;1918;2014;FR;fr;biblio+metier;Q2847554 {biblio+metier}
10455;Hélio Da Costa;introuvable;;;;;;;;;
10456;Marisa C. Vorraber Costa;introuvable;;;;;;;;;
10457;Rafael Costa;non corroborée;;;;;;;;;Q7282093 | Q93043400 {chercheur} | Q51124482 {chercheur} | Q96580758 {chercheur} | Q88692392 {chercheur}
10458;Sérgio Amad Costa;introuvable;;;;;;;;;
10459;Túlio Costa;non corroborée;;;;;;;;;Q714354
10460;Grabiela Costanzo;introuvable;;;;;;;;;
10461;Carlos Nelson Coutinho;acceptée;oui;Q9697252;Carlos Nelson Coutinho;1943;2012;BR;pt;biblio+metier;Q9697252 {biblio+metier}
10462;Alain Coutte;introuvable;;;;;;;;;
10463;Buenaventura Delgado Criado;acceptée;oui;Q93380185;Buenaventura Delgado;1935;2007;ES;es;biblio+metier;Q93380185 {biblio+metier}
10464;Luis Woollands (Juan Crusao);introuvable;;;;;;;;;
10466;Fernando O'Neill Cuesta;à relire (un seul signal);;Q42401903;Fernando O´Neill Cuesta;1924;2005;UY;es;metier;Q42401903 {metier}
10467;Ian Curtis;ambiguë;;;;;;;;;Q207867 {biblio+metier} | Q5981345 | Q5981335 {biblio}
10468;Silvia Rivera Cusicanqui;acceptée;oui;Q7517038;Silvia Rivera Cusicanqui;1949;;BO;;biblio+metier;Q7517038 {biblio+metier}
10469;Robert M. Cutler;acceptée;oui;Q58148981;Robert M Cutler;;;US;en;biblio+metier;Q7347109 | Q58148981 {biblio+metier}
10470;Armand Cuvillier;acceptée;oui;Q2861816;Armand Cuvillier;1887;1973;FR;;biblio+metier;Q2861816 {biblio+metier}
10471;Alain C. D. H;introuvable;;;;;;;;;
10472;Aníbal A. D´Auria;introuvable;;;;;;;;;
10473;Stig Dagerman;acceptée;oui;Q442535;Stig Dagerman;1923;1954;SE;sv;biblio+metier;Q442535 {biblio+metier}
10474;Hellmuth Günther Dahms;acceptée;oui;Q1602995;Hellmuth G. Dahms;1918;2010;DE;;biblio+metier;Q1602995 {biblio+metier}
10475;Gigi Damiani;acceptée;oui;Q10289485;Gigi Damiani;1876;1953;IT;it;biblio+metier;Q10289485 {biblio+metier}
10476;Alberto Daneri;à relire (un seul signal);;Q138925834;Alberto Daneri;;;;;biblio;Q138925834 {biblio}
10477;J. S. Daniels;introuvable;;;;;;;;;
10478;Gilson Dantas;non corroborée;;;;;;;;;Q109760080
10480;Robert Darton;introuvable;;;;;;;;;
10481;Charles Darwin;acceptée;oui;Q1035;Charles Darwin;1809;1882;GB;en;biblio+metier;Q1035 {biblio+metier} | Q5076724 [naissance 1758 ≠ 1809, mort 1778 ≠ 1882] {biblio+metier} | Q5076728 [naissance 1894 ≠ 1809, mort 1941 ≠ 1882] | Q1064506 [naissance 1887 ≠ 1809, mort 1962 ≠ 1882] {biblio+metier}
10482;Alexandra David-Néel;acceptée;oui;Q230456;Alexandra David-Néel;1868;1969;FR;fr;biblio+metier+anarchisme;Q230456 {biblio+metier+anarchisme}
10483;Henry David;ambiguë;;;;;;;;;Q4153569 [né 1979, publié dès 1958] {biblio} | Q105533624 {biblio} | Q59627852 {biblio+metier} | Q37379128 {biblio+chercheur}
10484;Angela Davis;ambiguë;;;;;;;;;Q160456 {biblio+metier} | Q16979885 | Q104520606 {metier} | Q90569344 {biblio+metier} | Q64697968 {chercheur} | Q133252396 {metier} | Q92610959 {chercheur}
10485;Dorothy Day;ambiguë;;;;;;;;;Q150281 {biblio+metier+anarchisme} | Q24661922 | Q76173795 [mort 1997 ≠ 1980] | Q110266347 [mort 1975 ≠ 1980] {biblio} | Q116762655 [naissance 1747 ≠ 1897, mort 1819 ≠ 1980] | Q29616916 [naissance 1915 ≠ 1897, mort 2001 ≠ 1980] {biblio}
10486;Douglas Day;ambiguë;;;;;;;;;Q5301407 {biblio+metier} | Q107369619 {metier} | Q57240192 {chercheur} | Q123390653 {biblio+metier}
10487;Edmondo De Amicis;acceptée;oui;Q240576;Edmondo De Amicis;1846;1908;IT;it;biblio+metier;Q240576 {biblio+metier} | Q60840398 [naissance 1885 ≠ 1846, mort 1945 ≠ 1908]
10488;Simone de Beauvoir;acceptée;oui;Q7197;Simone de Beauvoir;1908;1986;FR;fr;biblio+metier;Q7197 {biblio+metier}
10489;Paulo de Castro;non corroborée;;;;;;;;;Q99671557
10492;Guillaume De Greef;acceptée;oui;Q5769755;Guillaume De Greef;1842;1924;BE;fr;biblio+metier;Q5769755 {biblio+metier}
10493;Almir de Lima Pereira;introuvable;;;;;;;;;
10494;Leandro Delgado;acceptée;oui;Q42400011;Leandro Delgado;1967;;UY;;biblio+metier;Q6509632 | Q42400011 {biblio+metier}
10495;Alèssi Dell'umbria;déjà liée;oui;Q16170957;Alèssi Dell'Umbria;;;FR;es;biblio+metier;Q16170957 {biblio+metier}
10496;Juan Pablo Calero Delso;introuvable;;;;;;;;;
10497;Sandra McGee Deutsch;acceptée;oui;Q67100330;Sandra McGee Deutsch;1950;;US;;biblio+metier;Q67100330 {biblio+metier}
10498;Eduardo Devés;acceptée;oui;Q18649883;Eduardo Devés;1951;;CL;es;biblio+metier;Q18649883 {biblio+metier} | Q141014597
10499;Pasquale Di Paolo;introuvable;;;;;;;;;
